Rank,Player,Team,Salary
252,Ekpe Udoh\udohek01,UTA,3200000
253,T.J. Warren\warretj01,PHO,3152931
254,Stanley Johnson\johnsst04,DET,3097800
255,Marquese Chriss\chrisma01,PHO,3073800
256,Zach Collins\colliza01,POR,3057240
257,James Ennis\ennisja01,DET,3028410
258,Seth Curry\curryse01,DAL,3028410
259,Mindaugas Kuzminskas\kuzmimi01,NYK,3025035
260,Tomas Satoransky\satorto01,WAS,3000000
261,Rajon Rondo\rondora01,CHI,3000000
262,Lucas Nogueira\noguelu01,TOR,2947305
263,Jusuf Nurkic\nurkiju01,POR,2947305
264,Malik Monk\monkma01,CHO,2904480
265,Frank Kaminsky\kaminfr01,CHO,2847600
266,Andrew Nicholson\nichoan01,POR,2844429
267,Jakob Poeltl\poeltja01,TOR,2825640
268,Luke Kennard\kennalu01,DET,2759280
269,Justise Winslow\winslju01,MIA,2705040
270,Michael Carter-Williams\cartemi01,CHO,2700000
271,Thon Maker\makerth01,MIL,2684160
272,Cedi Osman\osmande01,CLE,2642857
273,Donovan Mitchell\mitchdo01,UTA,2621280
274,Myles Turner\turnemy01,IND,2569920
275,Gary Harris\harriga01,DEN,2550055
276,Domantas Sabonis\sabondo01,IND,2550000
277,Manu Ginobili\ginobma01,SAS,2500000
278,Reggie Bullock\bullore01,DET,2500000
279,Richard Jefferson\jefferi01,ATL,2500000
280,Malcolm Delaney\delanma01,ATL,2500000
281,Bam Adebayo\adebaba01,MIA,2490360
282,Bruno Caboclo\cabocbr01,SAC,2451225
283,Ronnie Price\pricero01,OKC,2442455
284,Trey Lyles\lylestr01,DEN,2441400
285,Dario Saric\saricda01,PHI,2422560
286,Taurean Waller-Prince\princta02,ATL,2422560
287,Rodney Hood\hoodro01,CLE,2386864
288,Justin Jackson\jacksju01,SAC,2365560
289,Shabazz Napier\napiesh01,POR,2361360
290,Clint Capela\capelca01,HOU,2334520
291,Arron Afflalo\afflaar01,ORL,2328652
292,Nick Collison\collini01,OKC,2328652
293,Raymond Felton\feltora01,OKC,2328652
294,Ramon Sessions\sessira01,NYK,2328652
295,Jarrett Jack\jackja01,NYK,2328652
296,Jason Terry\terryja01,MIL,2328652
297,Dwyane Wade\wadedw01,MIA,2328652
298,Udonis Haslem\hasleud01,MIA,2328652
299,David West\westda01,GSW,2328652
300,Richard Jefferson\jefferi01,DEN,2328652
301,Jose Calderon\caldejo01,CLE,2328652
302,Andrew Bogut\bogutan01,LAL,2328652
303,Devin Booker\bookede01,PHO,2319360
304,Georgios Papagiannis\papagge01,SAC,2301360
305,Dante Cunningham\cunnida01,BRK,2300000
306,Jameer Nelson\nelsoja01,DET,2262871
307,Justin Patton\pattoju01,MIN,2247480
308,Guerschon Yabusele\yabusgu01,BOS,2247480
309,Monta Ellis\ellismo01,IND,2245400
310,Cameron Payne\payneca01,CHI,2203440
311,Denzel Valentine\valende01,CHI,2186400
312,Josh Smith\smithjo03,NOP,2183934
313,Kyle Anderson\anderky01,SAS,2151704
314,D.J. Wilson\wilsodj01,MIL,2135040
315,Matt Barnes\barnema02,SAC,2133542
316,Derrick Rose\rosede01,UTA,2116955
317,Marreese Speights\speigma01,ORL,2116955
318,Michael Beasley\beaslmi01,NYK,2116955
319,Aaron Brooks\brookaa01,MIN,2116955
320,Luc Mbah a Moute\mbahalu01,HOU,2116955
321,JaVale McGee\mcgeeja01,GSW,2116955
322,Jeff Green\greenje02,CLE,2116955
323,Tony Allen\allento01,CHI,2116955
324,Damien Wilkins\wilkida02,IND,2116955
325,Omri Casspi\casspom01,GSW,2106470
326,Mario Chalmers\chalmma01,MEM,2106407
327,Darius Miller\milleda01,NOP,2100000
328,Kelly Oubre\oubreke01,WAS,2093040
329,Juan Hernangomez\hernaju01,DEN,2076840
330,T.J. Leaf\leaftj01,IND,2028360
331,Tim Frazier\fraziti01,WAS,2000000
332,Anthony Tolliver\tollian01,SAC,2000000
333,Terry Rozier\roziete01,BOS,1988520
334,Luke Babbitt\babbilu01,MIA,1974159
335,John Collins\collijo01,ATL,1936920
336,Anderson Varejao\varejan01,POR,1913345
337,Rashad Vaughn\vaughra01,NOP,1889040
338,Tim Duncan\duncati01,SAS,1881250
339,Wade Baldwin\baldwwa01,MEM,1874400
340,Larry Sanders\sandela01,MIL,1865547
341,Harry Giles\gilesha01,SAC,1859400
342,Sam Dekker\dekkesa01,LAC,1794600
343,Terrance Ferguson\fergute01,OKC,1785000
344,Henry Ellenson\ellenhe01,DET,1780800
345,Eric Moreland\moreler01,DET,1739333
346,Jerian Grant\grantje02,CHI,1713840
347,Jarrett Allen\allenja01,BRK,1713720
348,Mike Scott\scottmi01,WAS,1709538
349,Tyler Zeller\zellety01,MIL,1709538
350,Quincy Acy\acyqu01,BRK,1709538
351,Malik Beasley\beaslma01,DEN,1700640
352,Mike Dunleavy\dunlemi02,ATL,1662500
353,Delon Wright\wrighde01,TOR,1645200
354,OG Anunoby\anunoog01,TOR,1645200
355,Ante Zizic\zizican01,CLE,1645200
356,Caris LeVert\leverca01,BRK,1632480
357,Justin Anderson\anderju01,PHI,1579440
358,Tyler Lydon\lydonty01,DEN,1579440
359,Jeff Withey\witheje01,DAL,1577320
360,Ian Clark\clarkia01,NOP,1577230
361,Shabazz Muhammad\muhamsh01,MIN,1577230
362,Willie Reed\reedwi02,CHI,1577230
363,DeAndre Liggins\liggide01,MIL,1577230
364,DeAndre' Bembry\bembrde01,ATL,1567200
365,Joffrey Lauvergne\lauvejo01,SAS,1524305
366,Jerami Grant\grantje01,OKC,1524305
367,Johnny O'Bryant\obryajo01,NYK,1524305
368,Tyler Ennis\ennisty01,LAL,1524305
369,Julyan Stone\stoneju01,CHO,1524305
370,Sean Kilpatrick\kilpase01,BRK,1524305
371,Spencer Dinwiddie\dinwisp01,BRK,1524305
372,Joe Harris\harrijo01,BRK,1524305
373,Shane Larkin\larkish01,BOS,1524305
374,Glenn Robinson\robingl02,IND,1524305
375,Bobby Brown\brownbo02,HOU,1524305
376,Bobby Portis\portibo01,CHI,1516320
377,Malachi Richardson\richama01,TOR,1504560
378,Arron Afflalo\afflaar01,SAC,1500000
379,Norman Powell\powelno01,TOR,1471382
380,Josh Richardson\richajo01,MIA,1471382
381,Rondae Hollis-Jefferson\holliro01,BRK,1471382
382,Tyus Jones\jonesty01,MIN,1471382
383,Jarell Martin\martija01,MEM,1471382
384,Larry Nance\nancela02,CLE,1471382
385,T.J. McConnell\mccontj01,PHI,1471382
386,Troy Williams\willitr02,HOU,1471382
387,Chris McCullough\mcculch01,WAS,1471382
